kegg_class,final_name,type,gene
Canonical amino acid metabolism,Arginine and proline metabolism,kegg_gene,GPT2
Canonical amino acid metabolism,Arginine and proline metabolism,kegg_gene,OTC
Canonical amino acid metabolism,Arginine and proline metabolism,kegg_gene,GAMT
Canonical amino acid metabolism,Arginine and proline metabolism,kegg_gene,HOGA1
Canonical amino acid metabolism,Arginine and proline metabolism,kegg_gene,L3HYPDH
Canonical amino acid metabolism,Arginine and proline metabolism,kegg_gene,CKB
Canonical amino acid metabolism,Arginine and proline metabolism,kegg_gene,CKM
Canonical amino acid metabolism,Arginine and proline metabolism,kegg_gene,CKMT1B
Canonical amino acid metabolism,Arginine and proline metabolism,kegg_gene,CKMT2
Canonical amino acid metabolism,Arginine and proline metabolism,kegg_gene,CARNS1
Canonical amino acid metabolism,Arginine and proline metabolism,kegg_gene,OAT
Canonical amino acid metabolism,Arginine and proline metabolism,kegg_gene,GATM
Canonical amino acid metabolism,Arginine and proline metabolism,kegg_gene,ALDH18A1
Canonical amino acid metabolism,Arginine and proline metabolism,kegg_gene,LAP3
Canonical amino acid metabolism,Arginine and proline metabolism,kegg_gene,SMOX
Canonical amino acid metabolism,Arginine and proline metabolism,kegg_gene,SRM
Canonical amino acid metabolism,Arginine and proline metabolism,kegg_gene,CKMT1A
Canonical amino acid metabolism,Arginine and proline metabolism,kegg_gene,CNDP2
Canonical amino acid metabolism,Arginine and proline metabolism,kegg_gene,SMS
Canonical amino acid metabolism,Arginine and proline metabolism,kegg_gene,CNDP1
Canonical amino acid metabolism,Arginine and proline metabolism,recon3d_gene,P4HB
Canonical amino acid metabolism,Arginine and proline metabolism,recon3d_gene,AOC2
Canonical amino acid metabolism,Arginine and proline metabolism,recon3d_gene,AOC3
Canonical amino acid metabolism,Arginine and proline metabolism,recon3d_gene,MTAP
Canonical amino acid metabolism,Arginine and proline metabolism,recon3d_gene,ALDH1A2
Canonical amino acid metabolism,Arginine and proline metabolism,recon3d_gene,ALDH1A1
Canonical amino acid metabolism,Arginine and proline metabolism,both,GOT1
Canonical amino acid metabolism,Arginine and proline metabolism,both,GOT2
Canonical amino acid metabolism,Arginine and proline metabolism,both,NOS2
Canonical amino acid metabolism,Arginine and proline metabolism,both,NOS1
Canonical amino acid metabolism,Arginine and proline metabolism,both,NOS3
Canonical amino acid metabolism,Arginine and proline metabolism,both,ALDH9A1
Canonical amino acid metabolism,Arginine and proline metabolism,both,AMD1
Canonical amino acid metabolism,Arginine and proline metabolism,both,ALDH3A2
Canonical amino acid metabolism,Arginine and proline metabolism,both,AOC1
Canonical amino acid metabolism,Arginine and proline metabolism,both,MAOA
Canonical amino acid metabolism,Arginine and proline metabolism,both,MAOB
Canonical amino acid metabolism,Arginine and proline metabolism,both,SAT2
Canonical amino acid metabolism,Arginine and proline metabolism,both,AZIN2
Canonical amino acid metabolism,Arginine and proline metabolism,both,DAO
Canonical amino acid metabolism,Arginine and proline metabolism,both,ALDH2
Canonical amino acid metabolism,Arginine and proline metabolism,both,ALDH1B1
Canonical amino acid metabolism,Arginine and proline metabolism,both,PYCR1
Canonical amino acid metabolism,Arginine and proline metabolism,both,P4HA3
Canonical amino acid metabolism,Arginine and proline metabolism,both,PYCR2
Canonical amino acid metabolism,Arginine and proline metabolism,both,PRODH
Canonical amino acid metabolism,Arginine and proline metabolism,both,SAT1
Canonical amino acid metabolism,Arginine and proline metabolism,both,ODC1
Canonical amino acid metabolism,Arginine and proline metabolism,both,PRODH2
Canonical amino acid metabolism,Arginine and proline metabolism,both,ALDH7A1
Canonical amino acid metabolism,Arginine and proline metabolism,both,P4HA1
Canonical amino acid metabolism,Arginine and proline metabolism,both,AGMAT
Canonical amino acid metabolism,Arginine and proline metabolism,both,P4HA2
Canonical amino acid metabolism,Arginine and proline metabolism,both,PYCR3
Canonical amino acid metabolism,Arginine and proline metabolism,both,ALDH4A1
Non-canonical amino acids Metabolism,Beta-Alanine metabolism,kegg_gene,DPYS
Non-canonical amino acids Metabolism,Beta-Alanine metabolism,kegg_gene,DPYD
Non-canonical amino acids Metabolism,Beta-Alanine metabolism,kegg_gene,ALDH3A1
Non-canonical amino acids Metabolism,Beta-Alanine metabolism,kegg_gene,GADL1
Non-canonical amino acids Metabolism,Beta-Alanine metabolism,kegg_gene,ACADS
Non-canonical amino acids Metabolism,Beta-Alanine metabolism,kegg_gene,ALDH6A1
Non-canonical amino acids Metabolism,Beta-Alanine metabolism,kegg_gene,ALDH3B1
Non-canonical amino acids Metabolism,Beta-Alanine metabolism,kegg_gene,ALDH3B2
Non-canonical amino acids Metabolism,Beta-Alanine metabolism,kegg_gene,MLYCD
Non-canonical amino acids Metabolism,Beta-Alanine metabolism,kegg_gene,GAD2
Non-canonical amino acids Metabolism,Beta-Alanine metabolism,kegg_gene,SMOX
Non-canonical amino acids Metabolism,Beta-Alanine metabolism,kegg_gene,ACOX1
Non-canonical amino acids Metabolism,Beta-Alanine metabolism,kegg_gene,CSAD
Non-canonical amino acids Metabolism,Beta-Alanine metabolism,kegg_gene,UPB1
Non-canonical amino acids Metabolism,Beta-Alanine metabolism,kegg_gene,ACOX3
Non-canonical amino acids Metabolism,Beta-Alanine metabolism,recon3d_gene,HADHB
Non-canonical amino acids Metabolism,Beta-Alanine metabolism,recon3d_gene,AUH
Non-canonical amino acids Metabolism,Beta-Alanine metabolism,recon3d_gene,AOC1
Non-canonical amino acids Metabolism,Beta-Alanine metabolism,recon3d_gene,ALDH4A1
Non-canonical amino acids Metabolism,Beta-Alanine metabolism,recon3d_gene,ALDH1A2
Non-canonical amino acids Metabolism,Beta-Alanine metabolism,recon3d_gene,ALDH1A1
Non-canonical amino acids Metabolism,Beta-Alanine metabolism,both,AOC2
Non-canonical amino acids Metabolism,Beta-Alanine metabolism,both,ALDH2
Non-canonical amino acids Metabolism,Beta-Alanine metabolism,both,ECHS1
Non-canonical amino acids Metabolism,Beta-Alanine metabolism,both,EHHADH
Non-canonical amino acids Metabolism,Beta-Alanine metabolism,both,HIBCH
Non-canonical amino acids Metabolism,Beta-Alanine metabolism,both,HADHA
Non-canonical amino acids Metabolism,Beta-Alanine metabolism,both,ABAT
Non-canonical amino acids Metabolism,Beta-Alanine metabolism,both,AOC3
Non-canonical amino acids Metabolism,Beta-Alanine metabolism,both,ALDH7A1
Non-canonical amino acids Metabolism,Beta-Alanine metabolism,both,ALDH1B1
Non-canonical amino acids Metabolism,Beta-Alanine metabolism,both,ALDH9A1
Non-canonical amino acids Metabolism,Beta-Alanine metabolism,both,ALDH3A2
Non-canonical amino acids Metabolism,Beta-Alanine metabolism,both,GAD1
Non-canonical amino acids Metabolism,Beta-Alanine metabolism,both,CNDP1
Non-canonical amino acids Metabolism,Beta-Alanine metabolism,both,CNDP2
Non-canonical amino acids Metabolism,Beta-Alanine metabolism,both,CARNS1
Miscellaneous,Alkaloid synthesis,recon3d_gene,AADAC
Miscellaneous,Alkaloid synthesis,recon3d_gene,AOC1
Miscellaneous,Alkaloid synthesis,recon3d_gene,AOC2
Miscellaneous,Alkaloid synthesis,recon3d_gene,AOC3
Miscellaneous,Alkaloid synthesis,recon3d_gene,CES2
Metabolism of cofactors and vitamins,Biotin metabolism,kegg_gene,OXSM
Metabolism of cofactors and vitamins,Biotin metabolism,both,HLCS
Metabolism of cofactors and vitamins,Biotin metabolism,both,BTD
Carbohydrate metabolism,Butanoate metabolism,kegg_gene,ECHS1
Carbohydrate metabolism,Butanoate metabolism,kegg_gene,EHHADH
Carbohydrate metabolism,Butanoate metabolism,kegg_gene,ABAT
Carbohydrate metabolism,Butanoate metabolism,kegg_gene,ACAT1
Carbohydrate metabolism,Butanoate metabolism,kegg_gene,ACAT2
Carbohydrate metabolism,Butanoate metabolism,kegg_gene,OXCT1
Carbohydrate metabolism,Butanoate metabolism,kegg_gene,GAD1
Carbohydrate metabolism,Butanoate metabolism,kegg_gene,GAD2
Carbohydrate metabolism,Butanoate metabolism,kegg_gene,HADHA
Carbohydrate metabolism,Butanoate metabolism,kegg_gene,HADH
Carbohydrate metabolism,Butanoate metabolism,kegg_gene,ACSM1
Carbohydrate metabolism,Butanoate metabolism,kegg_gene,ACSM2A
Carbohydrate metabolism,Butanoate metabolism,kegg_gene,ACSM6
Carbohydrate metabolism,Butanoate metabolism,kegg_gene,ACSM5
